A	0.000306
:	0.000306
q	0.000306
(	0.000306
)	0.000306
1	0.000306
9	0.000306
8	0.000306
0	0.000306
G	0.000306
j	0.000306
E	0.000306
P	0.000306
M	0.000306
F	0.000306
Y	0.000613
H	0.000613
I	0.000613
B	0.000919
-	0.000919
R	0.000919
C	0.000919
D	0.001225
O	0.001225
N	0.001838
x	0.001838
W	0.002451
k	0.002451
T	0.002451
U	0.003064
.	0.004596
S	0.004902
K	0.004902
b	0.007047
v	0.007659
y	0.008578
,	0.009191
w	0.012868
m	0.012868
g	0.016238
f	0.016238
p	0.016850
u	0.019301
c	0.026654
d	0.028799
h	0.037377
l	0.038909
r	0.046262
s	0.052696
o	0.064338
n	0.064645
i	0.066483
a	0.070159
t	0.075980
e	0.101103
|	0.158701
